study_word,test,,,,,,,,,,,,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,l_o_k,,,,,,,,,,,,,[],[],[],[],[],[],[],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,b_g,,,,,,,,,,,,bag,[-0.001851851851851852],[-0.2935185185185185],[1],[0],[0],[3.4946476999994047],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,c_s_h_o_n,,,,,,,,,,,,cushion,[-0.014814814814814815],[-0.3],[1],[0],[0],[4.411748599999555],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_a_e,,,,,,,,,,,,vase,[-0.01574074074074074],[-0.30185185185185187],[1],[0],[0],[3.894230500000049],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,p_n,,,,,,,,,,,,pin,[-0.01574074074074074],[-0.29814814814814816],[1],[0],[0],[3.1949916999983543],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_ia_n,,,,,,,,,,,,,[-0.018518518518518517],[-0.2916666666666667],[1],[0],[0],[9.893175100000008],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,c_m_r_,,,,,,,,,,,,camera,[-0.040740740740740744],[-0.30092592592592593],[1],[0],[0],[4.597221599999102],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,t_g_r,,,,,,,,,,,,tiger,[-0.040740740740740744],[-0.30092592592592593],[1],[0],[0],[4.224361799999315],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,o_a_n_e,,,,,,,,,,,,orange,[-0.040740740740740744],[-0.30092592592592593],[1],[0],[0],[5.008674099999553],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_p_a_d_,,,,,,,,,,,,,[-0.04351851851851852],[-0.325],[1],[0],[0],[6.979844299999968],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,b_o__l_,,,,,,,,,,,,bottle,[-0.041666666666666664],[-0.3101851851851852],[1],[0],[0],[3.679953900000328],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,l_ay_,,,,,,,,,,,,lays,[-0.041666666666666664],[-0.30462962962962964],[1],[0],[0],[4.341747100001157],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_oo_,,,,,,,,,,,,book,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[3.2468841999998403],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_o_s_,,,,,,,,,,,,,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[6.842652900000758],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,b_ll,,,,,,,,,,,,ball,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[4.111732499999562],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,sh_rt_,,,,,,,,,,,,shorts,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[4.426824600001055],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,_ea_o_,,,,,,,,,,,,,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[5.761799100000644],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,c_ai_,,,,,,,,,,,,,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[9.045543199999884],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,sp_a_,,,,,,,,,,,,,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[9.943170500000633],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,p_n,,,,,,,,,,,,pen,[-0.041666666666666664],[-0.3037037037037037],[1],[0],[0],[3.593973500001084],['text_3'],186111,1,2022-10-20_20h45.00.277,word primary experiment,2022.2.4,60.02984684
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Prop  hit from study list,0.45,,,,,,,,,,,,
,,,,,,,,,,,,,Prop  hit for non primed words,0.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,0.25,,,,,,,,,,,,
