2.1454 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.9308 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
24.3924 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002837217CFD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000283777E3520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
24.3926 	EXP 	window1: mouseVisible = True
24.3928 	EXP 	window1: mouseVisible = False
24.3929 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
24.3929 	EXP 	window1: recordFrameIntervals = False
24.5649 	EXP 	window1: recordFrameIntervals = True
24.7419 	EXP 	Screen (0) actual frame rate measured at 59.82Hz
24.7420 	EXP 	window1: recordFrameIntervals = False
26.8971 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
26.9257 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
26.9335 	EXP 	Imported C:/Users/Sandeep/OneDrive/Desktop/lab in psychology/discounting.xlsx as conditions, 7 conditions, 3 params
26.9339 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
26.9340 	EXP 	New trial (rep=0, index=0): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
27.0138 	EXP 	text: height = 0.05
27.0138 	EXP 	text: height = 0.05
27.0138 	EXP 	text: height = 0.05
27.0138 	EXP 	text: text = 'GBP 11 today or  GBP 30 after 7 days'
27.0138 	EXP 	fixation: autoDraw = True
27.9405 	EXP 	text: autoDraw = True
28.0238 	EXP 	fixation: autoDraw = False
28.4435 	EXP 	New trial (rep=0, index=1): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
28.4511 	DATA 	Keypress: t
28.4569 	EXP 	fixation: autoDraw = False
28.4569 	EXP 	text: autoDraw = False
28.4569 	EXP 	text: height = 0.05
28.4569 	EXP 	text: height = 0.05
28.4569 	EXP 	text: height = 0.05
28.4569 	EXP 	text: text = 'GBP 15 today or  GBP 35 after 13 days'
28.4569 	EXP 	fixation: autoDraw = True
29.4570 	EXP 	fixation: autoDraw = False
29.4570 	EXP 	text: autoDraw = True
30.3249 	EXP 	New trial (rep=0, index=2): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
30.3326 	DATA 	Keypress: l
30.3397 	EXP 	fixation: autoDraw = False
30.3397 	EXP 	text: autoDraw = False
30.3397 	EXP 	text: height = 0.05
30.3397 	EXP 	text: height = 0.05
30.3397 	EXP 	text: height = 0.05
30.3397 	EXP 	text: text = 'GBP 78 today or  GBP 80 after 162 days'
30.3397 	EXP 	fixation: autoDraw = True
31.3399 	EXP 	fixation: autoDraw = False
31.3399 	EXP 	text: autoDraw = True
32.8267 	DATA 	Keypress: t
32.8420 	EXP 	New trial (rep=0, index=3): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
32.8563 	EXP 	fixation: autoDraw = False
32.8563 	EXP 	text: autoDraw = False
32.8563 	EXP 	text: height = 0.05
32.8563 	EXP 	text: height = 0.05
32.8563 	EXP 	text: height = 0.05
32.8563 	EXP 	text: text = 'GBP 27 today or  GBP 50 after 21 days'
32.8563 	EXP 	fixation: autoDraw = True
33.8563 	EXP 	fixation: autoDraw = False
33.8563 	EXP 	text: autoDraw = True
34.3411 	EXP 	New trial (rep=0, index=4): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
34.3481 	DATA 	Keypress: l
34.3562 	EXP 	fixation: autoDraw = False
34.3562 	EXP 	text: autoDraw = False
34.3562 	EXP 	text: height = 0.05
34.3562 	EXP 	text: height = 0.05
34.3562 	EXP 	text: height = 0.05
34.3562 	EXP 	text: text = 'GBP 67 today or  GBP 75 after 119 days'
34.3562 	EXP 	fixation: autoDraw = True
35.3564 	EXP 	fixation: autoDraw = False
35.3564 	EXP 	text: autoDraw = True
35.7249 	EXP 	New trial (rep=0, index=5): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
35.7314 	DATA 	Keypress: t
35.7394 	EXP 	fixation: autoDraw = False
35.7394 	EXP 	text: autoDraw = False
35.7394 	EXP 	text: height = 0.05
35.7394 	EXP 	text: height = 0.05
35.7394 	EXP 	text: height = 0.05
35.7394 	EXP 	text: text = 'GBP 40 today or  GBP 55 after 62 days'
35.7394 	EXP 	fixation: autoDraw = True
36.7392 	EXP 	fixation: autoDraw = False
36.7392 	EXP 	text: autoDraw = True
37.0584 	EXP 	New trial (rep=0, index=6): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
37.0622 	DATA 	Keypress: l
37.0725 	EXP 	fixation: autoDraw = False
37.0725 	EXP 	text: autoDraw = False
37.0725 	EXP 	text: height = 0.05
37.0725 	EXP 	text: height = 0.05
37.0725 	EXP 	text: height = 0.05
37.0725 	EXP 	text: text = 'GBP 49 today or  GBP 60 after 89 days'
37.0725 	EXP 	fixation: autoDraw = True
38.0725 	EXP 	fixation: autoDraw = False
38.0725 	EXP 	text: autoDraw = True
38.3765 	DATA 	Keypress: t
38.3886 	EXP 	fixation: autoDraw = False
38.3886 	EXP 	text: autoDraw = False
38.5621 	EXP 	window1: mouseVisible = True
