2.1656 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.3809 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.4917 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CA41ED8D60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CA423E6340>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.4919 	EXP 	window1: mouseVisible = True
10.4920 	EXP 	window1: mouseVisible = False
10.4920 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.4921 	EXP 	window1: recordFrameIntervals = False
10.6571 	EXP 	window1: recordFrameIntervals = True
10.8406 	EXP 	Screen (0) actual frame rate measured at 60.15Hz
10.8406 	EXP 	window1: recordFrameIntervals = False
13.1250 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
13.1428 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.1510 	EXP 	Imported C:/Users/Sandeep/Desktop/lab in psychology/conditions.xlsx as conditions, 1 conditions, 5 params
13.4111 	EXP 	window1: recordFrameIntervals = False
13.4137 	EXP 	window1: recordFrameIntervals = False
14.4544 	EXP 	fixation: autoDraw = True
15.2210 	EXP 	grating: autoDraw = True
15.2210 	EXP 	grating: tex = 'sin'
15.4569 	EXP 	fixation: autoDraw = False
15.5232 	EXP 	grating: autoDraw = False
16.0092 	EXP 	window1: recordFrameIntervals = False
16.0114 	DATA 	Keypress: left
16.0230 	EXP 	fixation: autoDraw = False
16.0230 	EXP 	grating: autoDraw = False
16.0233 	EXP 	window1: recordFrameIntervals = False
16.9975 	EXP 	fixation: autoDraw = True
18.0063 	EXP 	fixation: autoDraw = False
18.0228 	EXP 	grating: autoDraw = True
18.0228 	EXP 	grating: tex = 'sin'
18.3230 	EXP 	grating: autoDraw = False
18.3418 	EXP 	window1: recordFrameIntervals = False
18.3431 	DATA 	Keypress: right
18.3562 	EXP 	fixation: autoDraw = False
18.3562 	EXP 	grating: autoDraw = False
18.3564 	EXP 	window1: recordFrameIntervals = False
19.3302 	EXP 	fixation: autoDraw = True
20.3392 	EXP 	fixation: autoDraw = False
20.3561 	EXP 	grating: autoDraw = True
20.3561 	EXP 	grating: tex = 'sin'
20.6560 	EXP 	grating: autoDraw = False
20.7583 	EXP 	window1: recordFrameIntervals = False
20.7595 	DATA 	Keypress: right
20.7725 	EXP 	fixation: autoDraw = False
20.7725 	EXP 	grating: autoDraw = False
20.7728 	EXP 	window1: recordFrameIntervals = False
21.7468 	EXP 	fixation: autoDraw = True
22.7557 	EXP 	fixation: autoDraw = False
22.7726 	EXP 	grating: autoDraw = True
22.7726 	EXP 	grating: tex = 'sin'
23.0719 	EXP 	grating: autoDraw = False
23.0737 	EXP 	window1: recordFrameIntervals = False
23.0748 	DATA 	Keypress: left
23.0890 	EXP 	fixation: autoDraw = False
23.0890 	EXP 	grating: autoDraw = False
23.0891 	EXP 	window1: recordFrameIntervals = False
24.0618 	EXP 	fixation: autoDraw = True
25.0720 	EXP 	fixation: autoDraw = False
25.0889 	EXP 	grating: autoDraw = True
25.0889 	EXP 	grating: tex = 'sin'
25.3890 	EXP 	grating: autoDraw = False
25.4245 	EXP 	window1: recordFrameIntervals = False
25.4255 	DATA 	Keypress: left
25.4387 	EXP 	fixation: autoDraw = False
25.4387 	EXP 	grating: autoDraw = False
25.4389 	EXP 	window1: recordFrameIntervals = False
26.4127 	EXP 	fixation: autoDraw = True
27.4218 	EXP 	fixation: autoDraw = False
27.4386 	EXP 	grating: autoDraw = True
27.4386 	EXP 	grating: tex = 'sin'
27.7383 	EXP 	grating: autoDraw = False
27.7452 	EXP 	window1: recordFrameIntervals = False
27.7460 	DATA 	Keypress: left
27.7550 	EXP 	fixation: autoDraw = False
27.7550 	EXP 	grating: autoDraw = False
27.7552 	EXP 	window1: recordFrameIntervals = False
28.7341 	EXP 	fixation: autoDraw = True
29.7381 	EXP 	fixation: autoDraw = False
29.7549 	EXP 	grating: autoDraw = True
29.7549 	EXP 	grating: tex = 'sin'
30.0548 	EXP 	grating: autoDraw = False
30.1231 	EXP 	window1: recordFrameIntervals = False
30.1241 	DATA 	Keypress: right
30.1380 	EXP 	fixation: autoDraw = False
30.1380 	EXP 	grating: autoDraw = False
30.1382 	EXP 	window1: recordFrameIntervals = False
31.1117 	EXP 	fixation: autoDraw = True
32.1212 	EXP 	fixation: autoDraw = False
32.1380 	EXP 	grating: autoDraw = True
32.1380 	EXP 	grating: tex = 'sin'
32.4084 	DATA 	Keypress: left
32.4241 	EXP 	window1: recordFrameIntervals = False
32.4379 	EXP 	grating: autoDraw = False
32.4379 	EXP 	fixation: autoDraw = False
32.4379 	EXP 	grating: autoDraw = False
32.4382 	EXP 	window1: recordFrameIntervals = False
33.4130 	EXP 	fixation: autoDraw = True
34.4207 	EXP 	fixation: autoDraw = False
34.4374 	EXP 	grating: autoDraw = True
34.4374 	EXP 	grating: tex = 'sin'
34.7373 	EXP 	grating: autoDraw = False
34.8067 	EXP 	window1: recordFrameIntervals = False
34.8080 	DATA 	Keypress: left
34.8208 	EXP 	fixation: autoDraw = False
34.8208 	EXP 	grating: autoDraw = False
34.8211 	EXP 	window1: recordFrameIntervals = False
35.7947 	EXP 	fixation: autoDraw = True
36.8040 	EXP 	fixation: autoDraw = False
36.8205 	EXP 	grating: autoDraw = True
36.8205 	EXP 	grating: tex = 'sin'
37.1203 	EXP 	grating: autoDraw = False
37.2229 	EXP 	window1: recordFrameIntervals = False
37.2242 	DATA 	Keypress: left
37.2372 	EXP 	fixation: autoDraw = False
37.2372 	EXP 	grating: autoDraw = False
37.2374 	EXP 	window1: recordFrameIntervals = False
38.2111 	EXP 	fixation: autoDraw = True
39.2205 	EXP 	fixation: autoDraw = False
39.2372 	EXP 	grating: autoDraw = True
39.2372 	EXP 	grating: tex = 'sin'
39.5368 	EXP 	grating: autoDraw = False
39.5904 	EXP 	window1: recordFrameIntervals = False
39.5915 	DATA 	Keypress: right
39.6038 	EXP 	fixation: autoDraw = False
39.6038 	EXP 	grating: autoDraw = False
39.6041 	EXP 	window1: recordFrameIntervals = False
40.5789 	EXP 	fixation: autoDraw = True
41.5866 	EXP 	fixation: autoDraw = False
41.6034 	EXP 	grating: autoDraw = True
41.6034 	EXP 	grating: tex = 'sin'
41.8725 	EXP 	window1: recordFrameIntervals = False
41.8740 	DATA 	Keypress: left
41.8867 	EXP 	fixation: autoDraw = False
41.8867 	EXP 	grating: autoDraw = False
41.8870 	EXP 	window1: recordFrameIntervals = False
42.8616 	EXP 	fixation: autoDraw = True
43.8696 	EXP 	fixation: autoDraw = False
43.8866 	EXP 	grating: autoDraw = True
43.8866 	EXP 	grating: tex = 'sin'
44.1864 	EXP 	grating: autoDraw = False
44.2054 	EXP 	window1: recordFrameIntervals = False
44.2069 	DATA 	Keypress: right
44.2194 	EXP 	fixation: autoDraw = False
44.2194 	EXP 	grating: autoDraw = False
44.2197 	EXP 	window1: recordFrameIntervals = False
45.1936 	EXP 	fixation: autoDraw = True
46.2029 	EXP 	fixation: autoDraw = False
46.2196 	EXP 	grating: autoDraw = True
46.2196 	EXP 	grating: tex = 'sin'
46.5192 	EXP 	grating: autoDraw = False
46.6717 	EXP 	window1: recordFrameIntervals = False
46.6731 	DATA 	Keypress: right
46.6861 	EXP 	fixation: autoDraw = False
46.6861 	EXP 	grating: autoDraw = False
46.6863 	EXP 	window1: recordFrameIntervals = False
47.6606 	EXP 	fixation: autoDraw = True
48.6691 	EXP 	fixation: autoDraw = False
48.6861 	EXP 	grating: autoDraw = True
48.6861 	EXP 	grating: tex = 'sin'
48.9855 	EXP 	grating: autoDraw = False
49.0712 	EXP 	window1: recordFrameIntervals = False
49.0723 	DATA 	Keypress: right
49.0854 	EXP 	fixation: autoDraw = False
49.0854 	EXP 	grating: autoDraw = False
49.0856 	EXP 	window1: recordFrameIntervals = False
50.0603 	EXP 	fixation: autoDraw = True
51.0686 	EXP 	fixation: autoDraw = False
51.0851 	EXP 	grating: autoDraw = True
51.0851 	EXP 	grating: tex = 'sin'
51.3854 	EXP 	grating: autoDraw = False
51.4213 	EXP 	window1: recordFrameIntervals = False
51.4228 	DATA 	Keypress: left
51.4354 	EXP 	fixation: autoDraw = False
51.4354 	EXP 	grating: autoDraw = False
51.4356 	EXP 	window1: recordFrameIntervals = False
52.2061 	DATA 	Keypress: right
52.4096 	EXP 	fixation: autoDraw = True
53.4185 	EXP 	fixation: autoDraw = False
53.4351 	EXP 	grating: autoDraw = True
53.4351 	EXP 	grating: tex = 'sin'
53.7350 	EXP 	grating: autoDraw = False
53.8042 	EXP 	window1: recordFrameIntervals = False
53.8051 	DATA 	Keypress: left
53.8184 	EXP 	fixation: autoDraw = False
53.8184 	EXP 	grating: autoDraw = False
53.8187 	EXP 	window1: recordFrameIntervals = False
54.7929 	EXP 	fixation: autoDraw = True
55.8016 	EXP 	fixation: autoDraw = False
55.8180 	EXP 	grating: autoDraw = True
55.8180 	EXP 	grating: tex = 'sin'
56.1180 	EXP 	grating: autoDraw = False
56.1535 	EXP 	window1: recordFrameIntervals = False
56.1547 	DATA 	Keypress: left
56.1680 	EXP 	fixation: autoDraw = False
56.1680 	EXP 	grating: autoDraw = False
56.1683 	EXP 	window1: recordFrameIntervals = False
57.1407 	EXP 	fixation: autoDraw = True
58.1511 	EXP 	fixation: autoDraw = False
58.1680 	EXP 	grating: autoDraw = True
58.1680 	EXP 	grating: tex = 'sin'
58.4678 	EXP 	grating: autoDraw = False
58.6215 	EXP 	window1: recordFrameIntervals = False
58.6228 	DATA 	Keypress: right
58.6346 	EXP 	fixation: autoDraw = False
58.6346 	EXP 	grating: autoDraw = False
58.6348 	EXP 	window1: recordFrameIntervals = False
59.6098 	EXP 	fixation: autoDraw = True
60.6176 	EXP 	fixation: autoDraw = False
60.6342 	EXP 	grating: autoDraw = True
60.6342 	EXP 	grating: tex = 'sin'
60.9340 	EXP 	grating: autoDraw = False
60.9691 	EXP 	window1: recordFrameIntervals = False
60.9703 	DATA 	Keypress: left
60.9840 	EXP 	fixation: autoDraw = False
60.9840 	EXP 	grating: autoDraw = False
60.9842 	EXP 	window1: recordFrameIntervals = False
61.9568 	EXP 	fixation: autoDraw = True
62.9672 	EXP 	fixation: autoDraw = False
62.9840 	EXP 	grating: autoDraw = True
62.9840 	EXP 	grating: tex = 'sin'
63.2836 	EXP 	grating: autoDraw = False
63.4522 	EXP 	window1: recordFrameIntervals = False
63.4531 	DATA 	Keypress: left
